【备注一】通用评估标准 ：未拆标、靓板、无水泡、无进水；折痕轻微水泡扣50，反常发黑水泡扣50。连体坏、进水、已拆标当损坏机处理。,,,,,,,,,
【备注二】功能机/老款标准 ：未拆标且成色好；能正常开机进系统测试，支架不流水、不脱胶割裂；如触摸坏当外壳坏，断线无背光当损坏，连体坏当损坏。,,,,,,,,,
【备注三】比例要求 ：要求正常通话比例。若比例不正常或指定单抽买板，按外单价格或另议。,,,,,,,,,
 国产屏/ 深板整机说明 ：末尾“点数系列”多为老款机型，后两列分别对应不开机与国产屏/整机回收价；其他机型第六列统一为“深板·整机”。 ,,,,,,,,,
================================================================================,,,,,,,,,
 系列,序号,型号,开机靓好,开机屏好碎壳,开机屏坏/外碎,开机屏坏,不开机,深板·整机/国产,备注
点数系列,4,R819,10,10,10,10,10,/,
点数系列,5,R815T,10,10,10,10,10,/,
点数系列,6,R809,10,10,10,10,10,/,
点数系列,1,R7007,15,15,15,15,15,/,
点数系列,2,R7005,25,25,25,25,25,/,
点数系列,3,R6607,15,15,15,15,15,/,
点数系列,4,R3007,10,10,10,10,10,/,
点数系列,5,R6007,15,15,15,15,15,/,
点数系列,6,R3005,10,10,10,10,10,/,
点数系列,1,R2017,10,10,10,10,10,/,
点数系列,2,1107,10,10,10,10,10,/,
点数系列,3,1105,10,10,10,10,10,/,
点数系列,4,1100,10,10,10,10,10,/,
点数系列,5,U707t,10,10,10,10,10,/,
点数系列,6,U705,10,10,10,10,10,/,
点数系列,1,A53m,33,33,33,33,33,/,/
点数系列,2,A53,33,33,33,33,33,/,/
点数系列,3,A51,25,25,25,25,25,/,/
点数系列,4,A51kc,25,25,25,25,25,/,/
点数系列,5,A31c,25,25,25,25,25,/,/
点数系列,6,A31,20,20,20,20,20,/,/
点数系列,1,A31外单,15,15,15,15,15,/,/
点数系列,2,A11(老款),15,15,15,15,15,/,/
点数系列,3,A7n,75,75,75,75,75,/,/
点数系列,4,N3(5200、5207、5209),20,20,20,20,20,/,/
点数系列,5,大N1,20,20,20,20,20,/,/
点数系列,7,大N1,25,25,25,25,/,高尚座板 100,
    【通用评级与折损扣款标准（备注一）】,,,,,,,,,
        合格要求 ：主板未拆标、靓板、无进水痕迹、屏幕/支架无水泡。,,,,,,,,,
        扣款明细 ：,,,,,,,,,
            折痕微水泡：扣50 元；,,,,,,,,,
            反常发黑水泡：扣50 元；,,,,,,,,,
            连体损坏、严重进水、已被拆过标贴：一律直接 按损坏机/深板 处理；,,,,,,,,,
            A95/A96 等机型若 无屏幕 ：直接扣除10 元。 ,,,,,,,,,
    【功能机/老款机标准（备注二）】,,,,,,,,,
        要求未拆标且开机可进功能测试界面；,,,,,,,,,
        支架不流水、不脱胶割裂；,,,,,,,,,
        若触摸损坏按“爆壳坏”结算；断线、无背光、连体损坏均直接按“损坏”结算。 ,,,,,,,,,
    【通话比例与配置规则（备注三）】,,,,,,,,,
        必须符合正常的通话/全网通比例；,,,,,,,,,
        比例异常或指定单挑某类特定主板的，需另按“外单价格”另行结算；,,,,,,,,,
        A93/A93S 系列：主板架构编码第三位是 3 的判定为128G 配置。 ,,,,,,,,,
    【国产屏与点数机说明】,,,,,,,,,
        倒数几张点数机型表格中，后两列“不开机”与“国产/整机”价格不同，如标有 / 则代表不收或按极低配件统收；高尚座板整机回收价单独标定为100 元。 ,,,,,,,,,
