系列,序号,型号,开机靓好,开机屏好碎壳,开机屏坏/外碎,开机屏坏,不开机,深板·整机,备注
Y系列,4,Y32T,170,170,170,170,170,170,
Y系列,5,Y32,170,170,170,170,170,170,详见备注一
Y系列,6,y31s(t1),80,80,80,80,80,80,
Y系列,1,Y31s,175,175,175,175,175,175,详见备注一
Y系列,2,Y30标准版(低配版本),175,175,175,175,175,175,
Y系列,3,Y30双摄,180,180,180,180,180,180,详见备注一
Y系列,4,Y30三摄,175,175,175,175,175,175,详见备注一
Y系列,5,Y3 (4+128),180,180,180,180,180,180,
Y系列,6,Y3 (4+64),180,180,180,180,180,180,
Y系列,1,Y3s,180,180,180,180,180,180,详见备注二
Y系列,2,Y3标准版,120,120,120,120,120,120,要求靓壳开机
Y系列,3,Y11新款,100,100,100,100,100,100,
Y系列,4,Y12 2023,100,100,100,100,100,100,
Y系列,5,Y27新款,100,100,100,100,100,100,
Y系列,6,Y10,180,180,180,180,180,180,
Y系列,7,Y10电信版,180,180,180,180,180,180,
T系列,1,T2X,165,165,165,165,165,165,
T系列,2,T1X,110,110,110,110,110,110,详见备注一
T系列,3,T1,110,110,110,110,110,110,"【备注一】未拆标靓板无水泡/无进水折痕微水泡扣50，反常发黑水泡扣50。连体坏、进水、拆标当损坏"
S系列,1,S60,2000,1800,1300,1000,200,200,
S系列,2,S60元气版 5G,1800,1500,1100,900,200,200,
S系列,3,S50 Pro mini 5G,1700,1500,1300,1000,200,200,
S系列,4,S50t 5G,1300,1100,900,700,200,200,
S系列,5,S30 Pro mini,1100,1000,800,600,200,200,
S系列,6,S30,1000,900,700,550,200,200,
S系列,1,s20pro,600,450,450,450,200,150,
S系列,2,s20,500,450,400,400,200,150,
S系列,3,s19pro,200,200,200,200,200,200,
S系列,4,s19,200,200,200,200,200,200,
S系列,5,s18pro,200,200,200,200,200,200,
S系列,6,S18e,230,230,230,230,230,230,
S系列,1,S18,200,200,200,200,200,200,
S系列,2,S17 pro,160,160,160,160,160,160,"板靓收，无水泡凹壳扣钱"
S系列,3,S17t,160,160,160,160,160,160,
S系列,4,S17E,160,160,160,160,160,160,
S系列,5,S17,200,200,200,200,200,200,
S系列,6,S16Pro,160,160,160,160,160,160,
S系列,1,S16e,175,175,175,175,175,175,
S系列,2,S16,160,160,160,160,160,160,
S系列,3,S15Pro,180,180,180,180,180,180,
S系列,4,S15e,160,160,160,160,160,160,
S系列,5,S15,175,175,175,175,175,175,
S系列,6,S12pro,160,160,160,160,160,160,保双通去一
S系列,1,S12,160,160,160,160,160,160,详见备注一
S系列,2,S10Pro,160,160,160,160,160,160,详见备注一
S系列,3,S10e (8+128),175,175,175,175,175,175,
S系列,4,S10e (8+256),230,230,230,230,230,230,
S系列,5,S10,160,160,160,160,160,160,详见备注一
S系列,6,S9e (8+128),175,175,175,175,175,175,
S系列,1,S9e (8+256),230,230,230,230,230,230,
S系列,2,S9,160,160,160,160,160,160,详见备注一
S系列,3,S7t,175,175,175,175,175,175,详见备注一
S系列,4,S7e 5G (8+128),175,175,175,175,175,175,
S系列,5,S7e 5G (8+256),230,230,230,230,230,230,
S系列,6,S7 (8+128),175,175,175,175,175,175,
S系列,1,S7 (8+256),230,230,230,230,230,230,
S系列,2,S6 (8+128),175,175,175,175,175,175,
S系列,3,S6 (8+256),230,230,230,230,230,230,
S系列,4,S1 (4+128/6+128),175,175,175,175,175,175,详见备注二
S系列,5,S1 (6+256),195,195,195,195,195,195,
S系列,6,S1Pro,195,195,195,195,195,195,三星屏
S系列,7,S9e(停用),175,175,175,175,175,175,详见备注一
U系列,1,U3x,95,95,,95,95,95,"开机靓好、外屏好内屏好、无进水开机进处理，靓壳扣钱结算"
U系列,2,U3,120,120,,120,120,120,
U系列,3,U1,90,90,,90,90,90,详见备注二
点数系列,1,Y928,15,15,,15,15,15,
点数系列,2,Y710,15,15,,15,15,15,
点数系列,3,X628,15,15,,15,15,15,
点数系列,4,X520,15,15,,15,15,15,
点数系列,5,X510,15,15,,15,15,15,
点数系列,6,X5m,20,20,,20,20,20,
点数系列,1,X5l,25,25,,25,25,25,
点数系列,2,927,10,/,10,10,8,
点数系列,3,Y37,25,25,,25,25,25,
点数系列,4,Y35老款,25,25,,25,25,25,
点数系列,5,Y33,15,15,,15,15,15,五成看好
点数系列,6,Y31a,25,25,,25,25,25,
点数系列,1,Y31,25,25,,25,25,25,五成看好
点数系列,2,X3l,25,25,,25,25,25,
点数系列,3,Y29,15,15,,15,15,15,五成看好
点数系列,4,Y28,15,15,,15,15,15,
点数系列,5,Y27,15,15,,15,15,15,
